input,lon,lat,status,distance_to_nature_m,date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,Efficiency_Era,full_address,city_median_sqm_price,Price_Deviation_%,Nature_Proximity
"Mørkhøjvej 237E, 2860 Søborg",12.47222174,55.72755089,success,2150.05781021986,2024-06-03,2024Q2,7697,Townhouse,regular_sale,2016,4850000,-2.0,5,138.0,35144.926,Mørkhøjvej 237E,2860,Søborg,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,B/A (High Efficiency),"Mørkhøjvej 237E, 2860 Søborg",25953.947265625,35.412642329739555,Close (1-5km)
"Klostervej 28E, 2. mf, 5000 Odense C",10.38081013,55.39883538,success,13228.32552508284,2023-06-01,2023Q2,98758,Apartment,regular_sale,2009,2850000,-2.0,3,95.0,30000.0,"Klostervej 28E, 2. mf",5000,Odense C,Fyn & islands,Fyn & islands,2.6,3.31,4.79,C (Modern),"Klostervej 28E, 2. mf, 5000 Odense C",21551.724609375,39.19999695500007,Distant (>10km)
"Tårupvej 22, 8963 Auning",10.38102625,56.43717777,success,55946.11832294132,2022-03-31,2022Q1,191298,Villa,other_sale,1976,1500000,0.0,6,200.0,7500.0,Tårupvej 22,8963,Auning,East & mid jutland,Jutland,0.0,7.7,3.73,E (Minimal),"Tårupvej 22, 8963 Auning",7692.3076171875,-2.4999990478515532,Distant (>10km)
"Fynsvej 50, 4000 Roskilde",12.09919533,55.66042239,success,4242.6613706389535,2022-07-06,2022Q3,166674,Villa,regular_sale,1968,6200000,-1.0,7,205.0,30243.902,Fynsvej 50,4000,Roskilde,Other islands,Zealand,0.0,7.7,3.73,E (Minimal),"Fynsvej 50, 4000 Roskilde",21404.109375,41.29951316299513,Close (1-5km)
"Bredengen 32, 4000 Roskilde",12.01706019,55.63941616,success,9577.016077817456,2022-09-01,2022Q3,155012,Villa,regular_sale,1967,3700000,-7.0,6,185.0,20000.0,Bredengen 32,4000,Roskilde,Other islands,Zealand,0.0,7.7,3.73,E (Minimal),"Bredengen 32, 4000 Roskilde",21404.109375,-6.559999065599991,Nearby (5-10km)
"Vangede Bygade 122, 2820 Gentofte",12.51952229,55.74784036,success,674.0248613854412,2024-03-10,2024Q1,28898,Villa,regular_sale,1943,10500000,-5.0,7,205.0,51219.51,Vangede Bygade 122,2820,Gentofte,"Capital, Copenhagen",Zealand,3.6,1.13,4.34,G/F (Pre-Insulation),"Vangede Bygade 122, 2820 Gentofte",29230.76953125,75.22464355237825,Immediate (<1km)
"Rønnevej 16, 7323 Give",9.24710155,55.84290738,success,57529.53687216328,2023-04-02,2023Q2,112927,Villa,regular_sale,1968,1875000,-1.0,6,230.0,8152.174,Rønnevej 16,7323,Give,South jutland,Jutland,2.6,3.31,4.79,E (Minimal),"Rønnevej 16, 7323 Give",7518.1396484375,8.4333918939544,Distant (>10km)
"Sdr. Strandvej 66, 3770 Allinge",14.84729014,55.24538797,success,155342.64274608655,2023-03-12,2023Q1,117729,Villa,regular_sale,1900,1510000,-16.0,6,147.0,10272.108,Sdr. Strandvej 66,3770,Allinge,Bornholm,Bornholm,1.75,3.31,4.79,G/F (Pre-Insulation),"Sdr. Strandvej 66, 3770 Allinge",10568.181640625,-2.80155330647771,
"Skovbakkevej 35B, 8220 Brabrand",10.10893558,56.1578658,success,67370.537024979,2024-01-14,2024Q1,43325,Townhouse,regular_sale,1985,3175000,-2.0,4,105.0,30238.096,Skovbakkevej 35B,8220,Brabrand,East & mid jutland,Jutland,3.6,1.13,4.34,D (Standard),"Skovbakkevej 35B, 8220 Brabrand",18070.865234375,67.33064693330284,Distant (>10km)
"Ved Stormklokken 5, 6100 Haderslev",9.48439559,55.25229886,success,25269.858390639143,2023-09-03,2023Q3,77828,Townhouse,regular_sale,1877,1145000,0.0,2,65.0,17615.385,Ved Stormklokken 5,6100,Haderslev,South jutland,Jutland,3.1,3.31,4.79,G/F (Pre-Insulation),"Ved Stormklokken 5, 6100 Haderslev",9858.14892578125,78.68856413354493,Distant (>10km)
