input,lon,lat,status
"Skulpturvej 10, 4293 Dianalund",11.47432414,55.53517904,success
"Lønborgvej 26, 6880 Tarm",8.51569635,55.90445739,success
"Smalle Vorkvej 16, 6040 Egtved",9.34812554,55.64628792,success
"Nordrevej 26A, 8700 Horsens",9.85977012,55.82944141,success
"Hedetoften 79, 7800 Skive",9.03692176,56.54782594,success
"Rolighedsvej 21, 1. th, 3000 Helsingør",12.60161451,56.033193,success
"Dalhusvej 14, 9550 Mariager",10.06107844,56.63300523,success
"Holstebrovej Hagebro 257, 7800 Skive",9.02561543,56.4115387,success
"Skolebakken 18, 4190 Munke Bjergby",11.51749819,55.50770699,success
"Vedelsgade 4A, 1, 7100 Vejle",9.53162246,55.70867909,success
"Vingen 77, 3140 Ãlsgårde",,,not_found
"Vestergade 9C, 2. 1, 3200 Helsinge",12.19696789,56.02212459,success
"Hjertingvej 56B, 6800 Varde",8.47422955,55.6119816,success
"Veilgårdsparken 192, 8340 Malling",10.19139207,56.04595304,success
"Tryggevældevej 44, 2720 Vanløse",12.48599416,55.69617152,success
"Holger Danskes Vej 56, 3000 Helsingør",12.59101211,56.04332396,success
"Johnsens Alle 3, 7700 Thisted",8.70377972,56.95397328,success
"Aulkærvænget 14, st. 5, 5260 Odense S",10.43687359,55.32865619,success
"Egevej 9, 9990 Skagen",10.56980247,57.72906818,success
"Borgevej 30, 2800 Kongens Lyngby",12.50089466,55.78446585,success
"Tofteparken 17, 8330 Beder",10.1986619,56.0532157,success
"Voldgade 13, 8700 Horsens",9.84512152,55.87279967,success
"Kærvej 11, 6920 Videbæk",8.62066155,56.09260927,success
"Buegården 15, 1. tv, 2880 Bagsværd",12.45803493,55.76083268,success
"Rønnevej 3, 9280 Storvorde",10.18404478,56.98891088,success
"Gramtangevej 2, 7150 Barrit",9.91182373,55.71423066,success
"Bygaden 24B, st. 2, 8520 Lystrup",10.23577922,56.23149347,success
"Skovvang 26, 7100 Vejle",9.55107346,55.71207821,success
"Sandbjergvej 12, 6000 Kolding",9.43645749,55.49108105,success
"Sorgenfrivej 14, 2800 Kongens Lyngby",12.49738833,55.77163815,success
"Violvej 10, 9990 Skagen",10.57479017,57.72096107,success
"Kr Poulsens Vej 20, 7430 Ikast",9.15954185,56.13406154,success
"Estlandsgade 11, 1. tv, 9000 Aalborg",9.94400212,57.04609379,success
"Nordsøvej 23, 7700 Thisted",8.37290523,56.95567109,success
"Kassandravej 24, 9210 Aalborg SA",,,not_found
"Klevevej 71, 6950 Ringkøbing",8.13279306,56.14504035,success
"Løvenholmvej 55, 8963 Auning",10.43312894,56.45440247,success
"Kvartermestervej 17, 4591 Føllenslev",11.30948291,55.74797894,success
"Vilstrup Strand 54, 6100 Haderslev",9.50637337,55.16000009,success
"Rådmandsgade 42A, 4. th, 2200 København N",12.55181031,55.70023131,success
"Avernakøvej 54, 5700 Svendborg",10.61416367,55.0750228,success
"Kaffevej 37, 1. th, 2610 Rødovre",12.43848602,55.67633816,success
"Strandhusvej 13, 8950 Arsted",,,not_found
"Lyøvænget 16, 6000 Kolding",9.55411083,55.50452292,success
"Hulvej 2, 6990 Ulfborg",8.20259908,56.27218644,success
"Frodesgade 35, st, 6700 Esbjerg",8.45576158,55.47185674,success
"Sankt Pauls Gade 8, 4, 1313 København K",12.58912554,55.68704586,success
"Arbækvej 816C, 5220 Odense SA",,,not_found
"Robert Jacobsens Vej 8, 5. tv, 2300 København S",12.57467044,55.62360477,success
"Kierboesvej 7, 3000 Helsingør",12.59227381,56.03088607,success
"Regnersvej 104, 3650 Alstykke",,,not_found
"Nørholmsvej 332, 9000 Aalborg",9.75970658,57.03880934,success
"Udsigtsvejen 10, 6510 Gram",9.06643568,55.26186546,success
"Torvet 1, 2, 8620 Kjellerup",9.43016217,56.28805471,success
"Stalholt 1, 6200 Aabenraa",9.39453653,55.04493698,success
"Kongemosevej 12, 7470 Karup J",9.25540919,56.34005618,success
"Willy Brandts Vej 17, st, 2450 København SV",12.56111278,55.65691593,success
"Jens Ulrichs AllÃ© 4, 5250 Odense SV",,,not_found
"Marbækvej 46, 3600 Frederikssund",12.07334431,55.82332111,success
"Toftekrogen 10, 5600 Faaborg",10.30354674,55.18053953,success
"Kikkenborg 43, 5300 Kerteminde",10.67634137,55.46569533,success
"Rosengården 45, 4990 Sakskøbing",11.64338317,54.80579386,success
"Enebærvænget 24, 5700 Svendborg",10.65775536,55.04482674,success
"Roskildevej 297A, 2. tv, 2610 Rødovre",12.46976827,55.67215372,success
"Klosterstræde 14, st, 4800 Nykøbing F",11.86877135,54.76502987,success
"Holbergsgade 20, 2. tv, 9000 Aalborg",9.91467261,57.04975751,success
"Bossevejen 3, 3720 Aakirkeby",14.82820637,55.09806685,success
