input,lon,lat,status
"Mørkhøjvej 237E, 2860 Søborg",12.47222174,55.72755089,success
"Storegade 3, st, 8752 Astbirk",,,not_found
"Klostervej 28E, 2. mf, 5000 Odense C",10.38081013,55.39883538,success
"Tårupvej 22, 8963 Auning",10.38102625,56.43717777,success
"Fynsvej 50, 4000 Roskilde",12.09919533,55.66042239,success
"Bredengen 32, 4000 Roskilde",12.01706019,55.63941616,success
"Vangede Bygade 122, 2820 Gentofte",12.51952229,55.74784036,success
"Rønnevej 16, 7323 Give",9.24710155,55.84290738,success
"Sdr. Strandvej 66, 3770 Allinge",14.84729014,55.24538797,success
"Skovbakkevej 35B, 8220 Brabrand",10.10893558,56.1578658,success
"Ved Stormklokken 5, 6100 Haderslev",9.48439559,55.25229886,success
"Kromarken 16, 3480 Fredensborg",12.35124966,55.97782167,success
"Grundvej 3, 4591 Føllenslev",11.34859214,55.75612171,success
"Enighedsvej 2, 1. tv, 2920 Charlottenlund",12.57075399,55.7518628,success
"Lille Havdrupvej 4, 4622 Havdrup",12.15645353,55.5475453,success
"Lyngvej 5, 3220 Tisvildeleje",12.10388822,56.04775118,success
"Nørholmvej 6, 7361 Ejstrupholm",9.30486077,55.98330898,success
"Følfodvej 8, 4840 Nørre Alslev",11.87122586,54.89117659,success
"Seggelund Hovedvej 34, 6070 Christiansfeld",9.49006188,55.33484504,success
"Snehøjvej 10, 9500 Hobro",9.77307873,56.64255844,success
"Oktobervej 59B, 8210 Aarhus V",,,not_found
"Stenløsevej 99, 5260 Odense S",10.38288774,55.35865418,success
"Horsensvej 18, 2. mf, 3000 Helsingør",12.5933315,56.0216861,success
"Dalene 18, 5450 Otterup",10.32031378,55.56678674,success
"Aster Bordingvænget 10, 8600 Silkeborg",,,not_found
"Bremensgade 32, st. tv, 2300 København S",12.61695034,55.66469827,success
"Jernvedvej 42, 6771 Gredstedbro",8.76189463,55.40724113,success
"Søndervænget 52, 7790 Thyholm",8.53051449,56.6458271,success
"Bøgebakken 34, 8870 Langå",9.9489231,56.43756183,success
"Katrinevej 54, 7800 Skive",9.00154782,56.5854727,success
"Bakkevej 1A, 7840 Højslev",9.09860206,56.55271554,success
"Hummervej 10, 8400 Ebeltoft",10.65119315,56.23058186,success
"Torpet 84, 4300 Holbæk",11.6734584,55.70293661,success
"Hf. Brønshøjholm 42, 2700 Brønshøj",12.5022326,55.70891792,success
"Borgergade 21, 1. tv, 6700 Esbjerg",8.45518746,55.46512802,success
"Kenny Drews Vej 27, 3. th, 2450 København SV",12.54953012,55.64633692,success
"Frimestervej 2, 1. th, 2400 København NV",12.53707625,55.70653701,success
"Rørvigvej 108, 4500 Nykøbing Sj",11.68021911,55.93541227,success
"Munkeparken 91, 6240 Løgumkloster",8.93981655,55.05060164,success
"Strandengen 9, 3630 Jægerspris",11.95170638,55.92912794,success
"Højvangen 15, 8700 Horsens",9.85998075,55.83888573,success
"Husmandsvej 4, 2630 Taastrup",12.29074872,55.63937444,success
"Johan Kellers Vej 42, 1. tv, 2450 København SV",12.53577148,55.65517904,success
"Skolesvinget 45, 8240 Risskov",10.22547839,56.19688528,success
"Maj Alle 22, 2860 Søborg",12.46678155,55.72732794,success
"Hummervej 1, 7700 Thisted",8.38103917,56.95438631,success
"Bygaden 18C, 4490 Jerslev Sjælland",11.24040424,55.61070611,success
"Cumberlandsgade 8, 2. tv, 2300 København S",12.61548575,55.66741675,success
"Teglværksvej 20, 8420 Knebel",10.36239329,56.19432825,success
"Degnevænget 1, 5270 Odense N",10.33917785,55.42864446,success
"Ãbakken 18, 7130 Juelsminde",,,not_found
"Højvangen 24, 9800 Hjørring",9.98889583,57.46602885,success
"Grønbækvej 59, 8600 Silkeborg",9.62104517,56.24674551,success
"Elstarvej 19, 1. mf, 2500 Valby",12.50334912,55.65616657,success
"Assensvej 77, 5771 Stenstrup",10.52347206,55.11665899,success
"Ellebæk Parkvej 27, 8520 Lystrup",10.22040841,56.23342066,success
"Gasværksgade 25, 6700 Esbjerg",8.46161197,55.46377695,success
"Lindevænget 7, 4873 Væggerløse",11.96083607,54.68294643,success
"Lundevej 36, 2. 2, 4400 Kalundborg",11.07340503,55.68211999,success
"Skodborghusvej 15, 6600 Vejen",9.13698403,55.44375559,success
"Borgergade 19, 2, 8700 Horsens",9.85498624,55.8615064,success
"Ejlesøvej 15, 4000 Roskilde",12.14634079,55.73829814,success
"Bygaden 76, 4983 Dannemare",11.19861396,54.76027017,success
