input,lon,lat,status,distance_to_nature_m
"Mørkhøjvej 237E, 2860 Søborg",12.47222174,55.72755089,success,2150.05781021986
"Klostervej 28E, 2. mf, 5000 Odense C",10.38081013,55.39883538,success,13228.32552508284
"Tårupvej 22, 8963 Auning",10.38102625,56.43717777,success,55946.118322941315
"Fynsvej 50, 4000 Roskilde",12.09919533,55.66042239,success,4242.6613706389535
"Bredengen 32, 4000 Roskilde",12.01706019,55.63941616,success,9577.016077817456
"Vangede Bygade 122, 2820 Gentofte",12.51952229,55.74784036,success,674.0248613854412
"Rønnevej 16, 7323 Give",9.24710155,55.84290738,success,57529.536872163284
"Sdr. Strandvej 66, 3770 Allinge",14.84729014,55.24538797,success,155342.64274608655
"Skovbakkevej 35B, 8220 Brabrand",10.10893558,56.1578658,success,67370.537024979
"Ved Stormklokken 5, 6100 Haderslev",9.48439559,55.25229886,success,25269.858390639143
"Kromarken 16, 3480 Fredensborg",12.35124966,55.97782167,success,7994.77099892717
"Grundvej 3, 4591 Føllenslev",11.34859214,55.75612171,success,52159.69060377842
"Enighedsvej 2, 1. tv, 2920 Charlottenlund",12.57075399,55.7518628,success,2281.110671514648
"Lille Havdrupvej 4, 4622 Havdrup",12.15645353,55.5475453,success,7801.1187071188315
"Lyngvej 5, 3220 Tisvildeleje",12.10388822,56.04775118,success,10805.778766723424
"Nørholmvej 6, 7361 Ejstrupholm",9.30486077,55.98330898,success,48482.64485938373
"Følfodvej 8, 4840 Nørre Alslev",11.87122586,54.89117659,success,71367.22103292293
"Seggelund Hovedvej 34, 6070 Christiansfeld",9.49006188,55.33484504,success,24019.291905563885
"Snehøjvej 10, 9500 Hobro",9.77307873,56.64255844,success,15016.171970198722
"Stenløsevej 99, 5260 Odense S",10.38288774,55.35865418,success,13090.62860086505
"Horsensvej 18, 2. mf, 3000 Helsingør",12.5933315,56.0216861,success,23622.293394938763
"Dalene 18, 5450 Otterup",10.32031378,55.56678674,success,18838.91486028276
"Bremensgade 32, st. tv, 2300 København S",12.61695034,55.66469827,success,10332.358526459833
"Jernvedvej 42, 6771 Gredstedbro",8.76189463,55.40724113,success,23680.76811865966
"Søndervænget 52, 7790 Thyholm",8.53051449,56.6458271,success,12377.52998813089
"Bøgebakken 34, 8870 Langå",9.9489231,56.43756183,success,36521.41294622296
"Katrinevej 54, 7800 Skive",9.00154782,56.5854727,success,16821.676690758
"Bakkevej 1A, 7840 Højslev",9.09860206,56.55271554,success,14459.632029303464
"Hummervej 10, 8400 Ebeltoft",10.65119315,56.23058186,success,84357.95347784412
"Torpet 84, 4300 Holbæk",11.6734584,55.70293661,success,31095.311668884653
"Hf. Brønshøjholm 42, 2700 Brønshøj",12.5022326,55.70891792,success,3829.3216233317867
"Borgergade 21, 1. tv, 6700 Esbjerg",8.45518746,55.46512802,success,44011.7249754322
"Kenny Drews Vej 27, 3. th, 2450 København SV",12.54953012,55.64633692,success,10354.58107322141
"Frimestervej 2, 1. th, 2400 København NV",12.53707625,55.70653701,success,4266.447879098307
"Rørvigvej 108, 4500 Nykøbing Sj",11.68021911,55.93541227,success,34204.53683929416
"Munkeparken 91, 6240 Løgumkloster",8.93981655,55.05060164,success,31952.25953883427
"Strandengen 9, 3630 Jægerspris",11.95170638,55.92912794,success,17753.29357608942
"Højvangen 15, 8700 Horsens",9.85998075,55.83888573,success,47077.41013102266
"Husmandsvej 4, 2630 Taastrup",12.29074872,55.63937444,success,5936.660474831584
"Johan Kellers Vej 42, 1. tv, 2450 København SV",12.53577148,55.65517904,success,9043.33823669838
"Skolesvinget 45, 8240 Risskov",10.22547839,56.19688528,success,67970.15772385032
"Maj Alle 22, 2860 Søborg",12.46678155,55.72732794,success,1853.21887499784
"Hummervej 1, 7700 Thisted",8.38103917,56.95438631,success,22059.08994114818
"Bygaden 18C, 4490 Jerslev Sjælland",11.24040424,55.61070611,success,48616.26821150058
"Cumberlandsgade 8, 2. tv, 2300 København S",12.61548575,55.66741675,success,10024.652135838927
"Teglværksvej 20, 8420 Knebel",10.36239329,56.19432825,success,73766.3660347227
"Degnevænget 1, 5270 Odense N",10.33917785,55.42864446,success,14022.460332333767
"Højvangen 24, 9800 Hjørring",9.98889583,57.46602885,success,42844.064822501154
"Grønbækvej 59, 8600 Silkeborg",9.62104517,56.24674551,success,43566.309520559465
"Elstarvej 19, 1. mf, 2500 Valby",12.50334912,55.65616657,success,7788.358697858385
"Assensvej 77, 5771 Stenstrup",10.52347206,55.11665899,success,29350.26907963105
"Ellebæk Parkvej 27, 8520 Lystrup",10.22040841,56.23342066,success,64634.537246115855
"Gasværksgade 25, 6700 Esbjerg",8.46161197,55.46377695,success,43687.292963486245
"Lindevænget 7, 4873 Væggerløse",11.96083607,54.68294643,success,79496.3056472306
"Lundevej 36, 2. 2, 4400 Kalundborg",11.07340503,55.68211999,success,45558.780530728916
"Skodborghusvej 15, 6600 Vejen",9.13698403,55.44375559,success,12573.040753413537
"Borgergade 19, 2, 8700 Horsens",9.85498624,55.8615064,success,49550.118619684334
"Ejlesøvej 15, 4000 Roskilde",12.14634079,55.73829814,success,7632.257213261072
"Bygaden 76, 4983 Dannemare",11.19861396,54.76027017,success,29969.221967640005
"Tingodden 119, 6960 Hvide Sande",8.1418011,55.95801061,success,15323.952294355147
"Degneløkken 57, 5540 Ullerslev",10.64998499,55.35866777,success,4512.209347056311
"Gråspurvevej 63, st, 2400 København NV",12.52378778,55.70313246,success,4684.40396717872
"Nældebjerg Alle 41, 2670 Greve",12.27825304,55.58314651,success,7996.205791978123
"Slusevej 105, 2300 København S",12.58527678,55.62873685,success,13312.81629901762
"Kvarmløsevej 5, st, 4340 Tølløse",11.77203994,55.61324384,success,24707.666243798372
"Rasmus Rasks Vej 16, 2. tv, 2500 Valby",12.51741294,55.66264297,success,7671.088962118895
"Thorsensvej 5, 6740 Bramming",8.70244916,55.46223991,success,29687.54505277404
"Spurvevej 12, 4690 Haslev",12.05510951,55.31646111,success,34217.33447791643
"Svanemosevej 10, 9490 Pandrup",9.63545777,57.19143,success,23718.733411868092
"Bækken 23, 3700 Rønne",14.70159181,55.09553345,success,154813.56905336207
"Tybjergvej 20, 2720 Vanløse",12.47485698,55.69288225,success,3370.252849212474
"Lundevej 95, 1. th, 4400 Kalundborg",11.07215969,55.68143514,success,45449.66318696724
"Drostrupgårdvej 12, 6600 Vejen",9.13944795,55.52140431,success,21183.916157493357
"Gaabensevej 250, 4800 Nykøbing F",11.8705618,54.81207648,success,71420.59881845496
"Nejedevej 17, 3400 Hillerød",12.21022749,55.95115928,success,2985.667063564332
"Knudsvej 19, 3700 Rønne",14.70270361,55.10433707,success,154371.8540776769
"Lollandsgade 41, 1, 8000 Aarhus C",10.20144376,56.16056838,success,70297.43877977904
"Hasselbakken 101, 8500 Grenaa",10.85728247,56.42036545,success,78629.7087618017
"Strandvej 32, st. th, 4220 Korsør",11.13121891,55.33684607,success,34774.20918171882
"Krokusvej 14, 4683 Rønnede",12.03636591,55.25419587,success,41248.288713405
"Fyrtårnsvej 18, 6320 Egernsund",9.62040128,54.90565733,success,14420.878818492645
"Lærkevej 18, 4560 Vig",11.5415508,55.87982092,success,43934.7099271972
"Søglimt 19, 6340 Kruså",9.39644497,54.8505319,success,11503.866392902151
"Johannes Hansens Vej 6. mf, 9830 Tårs",10.10983212,57.38598037,success,34905.22770028054
"Birkevej 4, 7330 Brande",9.13369326,55.94509888,success,47067.23307681068
"Mådevej 13, 6700 Esbjerg",8.48324097,55.46242232,success,42348.51277634473
"Gammel Skovvej 2B, 3060 Espergærde",12.55149694,55.99472969,success,20586.11461949725
"Drachmannsvej 37, 9990 Skagen",10.56570132,57.72205348,success,79719.24631992776
"Parcelvej 53, 2840 Holte",12.45307965,55.8000401,success,1851.0138014128186
"Golfsvinget 120, 9640 Farsø",9.38439661,56.87153402,success,23893.440032144506
"Grønnehavevej 13A, 1. tv, 3000 Helsingør",12.61029878,56.04012631,success,24471.311663831926
"Lyøvej 11, 3450 Allerød",12.34186963,55.85513731,success,9837.063612608965
"Stenkisten 6, 7100 Vejle",9.5615464,55.68557671,success,44260.94930183057
"Buddingevej 190, 1. 101, 2860 Søborg",12.49475155,55.75290198,success,354.3736360781424
"Eranthisvej 19, 6710 Esbjerg V",8.42890798,55.49471128,success,40445.570894978686
"Månestien 1, 2670 Greve",12.30875404,55.58640923,success,9505.004374316844
"Middelbanke 8, 9990 Skagen",10.54885555,57.72901094,success,79968.98900782397
"Dyrupgårdvænget 92, 5250 Odense SV",10.35399324,55.35476271,success,14970.026667126604
"Nordstensvej 2, 1. 1, 3400 Hillerød",12.30006312,55.92888427,success,7196.04548124393
"Skovtoften 58, 4800 Nykøbing F",11.84478523,54.76798053,success,70300.9337682111
"Kastetvej 15A, 3. 2, 9000 Aalborg",9.90940124,57.05242799,success,4521.32183963455
"Samsøvej 25, 4000 Roskilde",12.09401511,55.61577132,success,4418.8490369461315
"Skov-Torupvej 2, 4683 Rønnede",12.03647546,55.2594089,success,40677.826640061605
"Silkeborgvej 189, 8700 Horsens",9.76840962,55.89464879,success,54980.32298128599
"Tømrervej 8, 7130 Juelsminde",9.95641885,55.81350718,success,42590.29974585142
"Skolesvinget 20, 7400 Herning",8.89148881,56.12919648,success,23279.595400600352
"Grønningen 19, 1. th, 7200 Grindsted",8.9133679,55.76452411,success,39538.16610110699
"Metavang 33, 2670 Greve",12.29819061,55.58308517,success,9078.800809913648
"Hovedgaden 83, 6360 Tinglev",9.24432351,54.93367562,success,10891.751213561904
"Marbækvej 8, 2. 3, 2750 Ballerup",12.37495473,55.71959296,success,3244.340575559994
"P Dovns Slippe 1, 6760 Ribe",8.76316122,55.32819613,success,22077.158057165616
"Højbovej 1, 9240 Nibe",9.68598702,56.90862659,success,11500.437455654677
"Vesterlundvej 7, st. tv, 8600 Silkeborg",9.55936639,56.12948381,success,48355.787294056354
"Præsthøjvej 6, 3300 Frederiksværk",12.03233797,55.9466335,success,12365.5814022731
"Anders Billes Vej 21, 7000 Fredericia",9.74573762,55.56755022,success,27236.469064856276
"Høje Støvring 115, 9530 Støvring",9.83362748,56.86461789,success,3720.8316351910066
"Vollerup Vang 12, 4400 Kalundborg",11.06321574,55.73148937,success,49356.80898501754
"Lønstrupvej 96, 2720 Vanløse",12.47670792,55.68364666,success,4299.154041901728
"Klitheden Nord 3B, 9492 Blokhus",9.62253795,57.24543393,success,27959.155494403894
"Skovhøjen 19, 8800 Viborg",9.42075054,56.42321591,success,25839.43544714958
"Vorupørvej 67, 7700 Thisted",8.5342631,56.93433999,success,14233.5430249644
"Holbækvej 14, st. tv, 4000 Roskilde",12.0689919,55.63438974,success,6278.220944742129
"Jonstrupvej 276, 3500 Værløse",12.33852212,55.75833537,success,4224.199060147469
"Byvangen 20, 3550 Slangerup",12.16803239,55.85152836,success,14388.101100413614
"Carl Plougs Vej 92, 6000 Kolding",9.46316051,55.47484115,success,27383.459555044537
"Gærdesmuttevej 5, 3450 Allerød",12.34759943,55.86410244,success,10529.425254972522
"Serinedalen 41, 8340 Malling",10.1852391,56.02694565,success,65236.44834735862
"Hessensgade 41, st. th, 2300 København S",12.61674355,55.66399895,success,10393.208224015765
"Valnøddevej 36, 3630 Jægerspris",11.99316637,55.85112309,success,20067.207297194454
"Sjællandsgade 14, 2. th, 4100 Ringsted",11.78839711,55.44079146,success,30820.86518540388
"Ahornvej 49, 4220 Korsør",11.17966332,55.36393927,success,37549.74262971623
"Kongevejen 296, 3490 Kvistgård",12.50827109,55.99357073,success,17888.279424397988
"Hvidovrevej 275, 1. 14, 2650 Hvidovre",12.48014887,55.63755702,success,9177.300773660003
"Ellegårdsvej 13, 4684 Holmegaard",11.80072831,55.27432267,success,44592.66089025249
"Fridlevs Vænge 36, 4330 Hvalsø",11.8774353,55.59276221,success,18275.626342931435
"Tørholmsvej 106, 9800 Hjørring",9.99425185,57.46804178,success,43076.23979238341
"Hans Jørgensvej 21, 6840 Oksbøl",8.27875989,55.62064688,success,25641.547787829135
"Klintegårdsvej 74, 4736 Karrebæksminde",11.67030835,55.1639563,success,59402.65838684935
